DTYPE	DCSTAT	DCBY	MYEAR	STATN	REP_STATN_NAME	PROJ	ORDERER	SHIPC	VISITID	CRUISE_NO	SHARKID_MD5	SDATE	STIME	EDATE	ETIME	LATIT_DM	LONGI_DM	LATIT_DD	LONGI_DD	POSYS	WADEP	WINDIR	WINSP	AIRTEMP	AIRPRES	WEATH	CLOUD	WAVES	ICEOB	SECCHI	QSEC	COMNT_VISIT	SMPNO	MNDEP	MXDEP	SLABO	ACKR_SMP	SMTYP	SMVOL	COMNT_SAMP	PARAM	VALUE	MUNIT	QFLAG	CALC_BY_DATA_CENTRE	METOA	METDC	REFSK	COMNT_VAR	UNCERT	METCU	LMQNT	DETLI	RANA	ALABO	ACKR_ANA	ANADATE	WATER_CATEGORY	WATER_DISTRICT	SEA_AREA_NAME	SEA_AREA_CODE	WATER_TYPE_AREA	SEA_BASIN	HELCOM-OSPAR_AREA	EEZ	COUNTY_NAME	MUNICIPALITY_NAME	VISS_EU_ID	WLTYP	MSTAT	PURPM	MPROG	RLABO	DATA_CENTRE	INTERNET_ACCESS	DATA_SET_NAME	FILE_NAME
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			18	a98383cbf202b1f4d14343a738a58a87	2015-06-02	08:15			64 42.49	22 04.00	64.70817	22.06667	GPS	129												1	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	2.31	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			18	959e604a92160b10d9fd2422e73b36a5	2015-06-02	08:15			64 42.49	22 04.00	64.70817	22.06667	GPS	129												2	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	2.45	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			16	353fca8175a67a806ff81f0a9f4b80d6	2015-05-21	06:00			64 42.55	22 04.00	64.70917	22.06667	GPS	121												1	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	2.65	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			16	7a69859bd9d0a6f24a407215c6e73ba3	2015-05-21	06:00			64 42.55	22 04.00	64.70917	22.06667	GPS	121												2	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	2.72	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			16	b4de30a2067619e7f3ebf98374657ae2	2015-05-19	13:00			62 39.20	18 57.14	62.65333	18.95233	GPS	198												1	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	8.81	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			16	7e531def707a7f509b8bfb6f26a91f8f	2015-05-19	13:00			62 39.20	18 57.14	62.65333	18.95233	GPS	198												2	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	8.54	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			14	919bd437109bdba7b919d7c434a93cb5	2015-04-23	07:30			64 42.47	22 04.02	64.70783	22.06700	GPS	126												1	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	0.67	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			14	2944db6baa33f55609b1cea2f81d6817	2015-04-23	07:30			64 42.47	22 04.02	64.70783	22.06700	GPS	126												2	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	0.66	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			14	b9aa19e7ccbc696823f3586079dd0382	2015-04-21	14:30			62 39.17	18 57.18	62.65283	18.95300	GPS	196												1	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	4.68	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			14	7604a4973460168e77568d19272bb7cc	2015-04-21	14:30			62 39.17	18 57.18	62.65283	18.95300	GPS	196												2	0	10	Umeå Universitet		HOS	0.1		Chlorophyll-a	4.78	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
