STATN	STNCODE	MONTH	TEMP:mean	TEMP:std	TEMP:number_of_values	SALT:mean	SALT:std	SALT:number_of_values	CHLA:mean	CHLA:std	CHLA:number_of_values
B7	GBSX59	01	1.127	1.379	9	4.549	0.8	9	nan	nan	0
B7	GBSX59	02	0.171	0.355	11	4.474	0.47	12	nan	nan	0
B7	GBSX59	03	0.268	0.264	18	4.351	0.42	18	nan	nan	0
B7	GBSX59	04	1.395	0.941	20	4.156	0.437	20	nan	nan	0
B7	GBSX59	05	4.43	1.245	20	3.975	0.392	20	nan	nan	0
B7	GBSX59	06	8.415	1.907	17	4.011	0.395	18	nan	nan	0
B7	GBSX59	07	11.957	2.542	12	4.059	0.515	12	nan	nan	0
B7	GBSX59	08	12.219	2.671	20	4.184	0.465	20	nan	nan	0
B7	GBSX59	09	12.928	2.016	16	4.124	0.486	16	nan	nan	0
B7	GBSX59	10	8.417	1.371	20	4.473	0.386	20	nan	nan	0
B7	GBSX59	11	4.452	1.638	10	4.366	0.331	10	nan	nan	0
B7	GBSX59	12	2.544	1.456	10	4.185	0.456	10	nan	nan	0
NB1 / B3	GBSX58	01	0.692	0.586	18	4.738	0.317	16	nan	nan	0
NB1 / B3	GBSX58	02	0.269	0.495	20	4.437	0.731	19	nan	nan	0
NB1 / B3	GBSX58	03	0.259	0.415	24	4.259	0.546	25	nan	nan	0
NB1 / B3	GBSX58	04	1.196	0.758	24	4.443	0.382	25	nan	nan	0
NB1 / B3	GBSX58	05	4.491	1.109	28	4.013	0.339	28	nan	nan	0
NB1 / B3	GBSX58	06	7.655	1.278	26	4.193	0.375	24	nan	nan	0
NB1 / B3	GBSX58	07	11.15	2.367	20	4.053	0.411	18	nan	nan	0
NB1 / B3	GBSX58	08	12.409	2.47	26	4.174	0.456	24	nan	nan	0
NB1 / B3	GBSX58	09	11.145	1.917	26	4.277	0.39	24	nan	nan	0
NB1 / B3	GBSX58	10	7.713	2.094	24	4.486	0.477	22	nan	nan	0
NB1 / B3	GBSX58	11	3.943	1.762	17	4.529	0.423	16	nan	nan	0
NB1 / B3	GBSX58	12	2.915	1.179	17	4.671	0.543	16	nan	nan	0
F9 / A13	GBBX43	01	1.0	0.752	23	3.108	0.15	24	nan	nan	0
F9 / A13	GBBX43	02	0.123	0.302	14	3.101	0.156	15	nan	nan	0
F9 / A13	GBBX43	03	-0.046	0.194	16	3.2	0.112	17	nan	nan	0
F9 / A13	GBBX43	04	0.455	0.417	22	3.111	0.131	22	nan	nan	0
F9 / A13	GBBX43	05	1.907	1.098	29	3.132	0.182	29	nan	nan	0
F9 / A13	GBBX43	06	5.12	1.714	30	3.082	0.164	29	nan	nan	1
F9 / A13	GBBX43	07	12.331	2.067	24	2.923	0.133	22	nan	nan	0
F9 / A13	GBBX43	08	14.65	1.435	28	2.908	0.158	27	nan	nan	1
F9 / A13	GBBX43	09	11.643	2.236	24	2.928	0.148	23	nan	nan	0
F9 / A13	GBBX43	10	7.016	1.218	17	2.962	0.154	15	nan	nan	0
F9 / A13	GBBX43	11	4.644	1.057	18	3.093	0.19	18	nan	nan	2
F9 / A13	GBBX43	12	3.368	1.035	27	3.034	0.15	26	nan	nan	1
F3 / A5	GBBX45	01	0.557	0.592	19	2.991	0.17	19	nan	nan	0
F3 / A5	GBBX45	02	-0.074	0.107	10	3.066	0.168	10	nan	nan	0
F3 / A5	GBBX45	03	-0.087	0.093	14	3.016	0.277	14	nan	nan	0
F3 / A5	GBBX45	04	0.211	0.307	12	3.027	0.135	12	nan	nan	0
F3 / A5	GBBX45	05	1.174	0.638	26	3.067	0.175	26	nan	nan	1
F3 / A5	GBBX45	06	5.536	1.866	26	2.829	0.231	25	nan	nan	2
F3 / A5	GBBX45	07	13.159	1.642	17	2.635	0.203	16	nan	nan	1
F3 / A5	GBBX45	08	15.019	1.514	27	2.594	0.166	26	nan	nan	2
F3 / A5	GBBX45	09	12.098	1.897	22	2.741	0.182	22	nan	nan	1
F3 / A5	GBBX45	10	7.45	1.488	12	2.905	0.156	11	nan	nan	0
F3 / A5	GBBX45	11	4.659	1.27	18	3.058	0.179	18	nan	nan	1
F3 / A5	GBBX45	12	3.412	1.475	20	2.907	0.135	20	nan	nan	0
